Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05062023,1122846937,0002319
Trade Date <05-JUN-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D100823,TB,7300,7300,100.00
20,2,182D161123,TB,1000,1000,100.00
20,3,182D220623,TB,2000,1000,50.00
20,4,182D231123,TB,5000,5000,100.00
20,5,182D261023,TB,1700,1700,100.00
20,6,182D290623,TB,1000,1000,100.00
20,7,182D290923,TB,1300,1300,100.00
20,8,182D310823,TB,1000,1000,100.00
20,9,20MICRONS,EQ,162168,99586,61.41
20,10,21STCENMGM,EQ,7624,5280,69.25
20,11,360ONE,EQ,2471395,2323212,94.00
20,12,364D021123,TB,5000,5000,100.00
20,13,364D090524,TB,1000,1000,100.00
20,14,364D110124,TB,100,100,100.00
20,15,364D130723,TB,31800,31800,100.00
20,16,364D140324,TB,100,100,100.00
20,17,364D161123,TB,500,500,100.00
20,18,364D220324,TB,3100,3100,100.00
20,19,364D240823,TB,100,100,100.00
20,20,364D270723,TB,700,500,71.43
20,21,364D290224,TB,100,100,100.00
20,22,364D290623,TB,59900,59900,100.00
20,23,3IINFOLTD,EQ,321291,197549,61.49
20,24,3MINDIA,EQ,6486,2446,37.71
20,25,3PLAND,EQ,5841,3768,64.51
20,26,456GS2023,GS,200,200,100.00
20,27,5PAISA,EQ,208324,74399,35.71
20,28,601GS2028,GS,1,1,100.00
20,29,618GS2024,GS,100,100,100.00
20,30,622GS2035,GS,500,500,100.00
20,31,63MOONS,EQ,138505,95718,69.11
20,32,654GS2032,GS,31,31,100.00
20,33,667GS2035,GS,46,46,100.00
20,34,667GS2050,GS,53,53,100.00
20,35,669GS2024,GS,2921,2620,89.70
20,36,676GS2061,GS,2714,2714,100.00
20,37,68GS2060,GS,100,100,100.00
20,38,695GS2061,GS,592,592,100.00
20,39,697GS2026,GS,100000,100000,100.00
20,40,699GS2026,GS,21000,10700,50.95
20,41,699GS2051,GS,57,57,100.00
20,42,706GS2028,GS,20000,20000,100.00
20,43,710GS2029,GS,69703,64699,92.82
20,44,716GS2050,GS,874,874,100.00
20,45,726GS2032,GS,26708,26708,100.00
20,46,726GS2033,GS,1560,1560,100.00
