Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31052023,2177094669,0002281
Trade Date <31-MAY-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,182D051023,TB,3300,1900,57.58
20,2,182D220623,TB,200,200,100.00
20,3,182D231123,TB,9200,9200,100.00
20,4,182D290623,TB,100,100,100.00
20,5,182D290923,TB,800,800,100.00
20,6,20MICRONS,EQ,140484,50831,36.18
20,7,21STCENMGM,EQ,2129,2079,97.65
20,8,360ONE,EQ,467224,409715,87.69
20,9,364D040424,TB,6000,6000,100.00
20,10,364D070324,TB,400,200,50.00
20,11,364D090524,TB,5000,5000,100.00
20,12,364D140324,TB,500,500,100.00
20,13,364D160524,TB,11000,11000,100.00
20,14,364D161123,TB,8000,8000,100.00
20,15,364D191023,TB,3000,3000,100.00
20,16,364D290324,TB,500,500,100.00
20,17,3IINFOLTD,EQ,218439,107762,49.33
20,18,3MINDIA,EQ,7874,4364,55.42
20,19,3PLAND,EQ,6923,4507,65.10
20,20,448GS2023,GS,100,100,100.00
20,21,456GS2023,GS,500000,500000,100.00
20,22,522GS2025,GS,60,60,100.00
20,23,579GS2030,GS,200,200,100.00
20,24,5PAISA,EQ,78583,26901,34.23
20,25,622GS2035,GS,1,1,100.00
20,26,63MOONS,EQ,246095,130788,53.15
20,27,654GS2032,GS,10002,10002,100.00
20,28,664GS2035,GS,1,1,100.00
20,29,667GS2035,GS,1102,1102,100.00
20,30,667GS2050,GS,4129,4129,100.00
20,31,669GS2024,GS,44,44,100.00
20,32,676GS2061,GS,1608,1608,100.00
20,33,699GS2026,GS,100,100,100.00
20,34,699GS2051,GS,1904,977,51.31
20,35,706GS2028,GS,300,200,66.67
20,36,710GS2029,GS,58821,58720,99.83
20,37,717GS2030,GS,108031,108031,100.00
20,38,726GS2032,GS,734499,734482,100.00
20,39,726GS2033,GS,90,90,100.00
20,40,727GS2026,GS,4540,4540,100.00
20,41,736GS2052,GS,1,1,100.00
20,42,738GS2027,GS,51350,48150,93.77
20,43,741GS2036,GS,21990,21990,100.00
20,44,74GS2062,GS,201490,201000,99.76
20,45,754GS2036,GS,326670,301303,92.23
20,46,915GS2024,GS,2549,1549,60.77
20,47,91D060723,TB,23200,20200,87.07
20,48,91D100823,TB,3000,3000,100.00
20,49,A2ZINFRA,EQ,2951913,1576181,53.40
20,50,AAATECH,EQ,8625,4055,47.01
20,51,AAKASH,EQ,226404,157071,69.38
20,52,AAREYDRUGS,EQ,61304,29640,48.35
20,53,AARON,EQ,19820,13772,69.49
20,54,AARTIDRUGS,EQ,61089,22476,36.79
20,55,AARTIIND,EQ,754821,427708,56.66
20,56,AARTIPHARM,EQ,257341,152876,59.41
20,57,AARTIPP,E1,107,103,96.26
20,58,AARTISURF,EQ,4003,2831,70.72
20,59,AARTISURF,P1,2,2,100.00
20,60,AARVEEDEN,EQ,15077,10387,68.89
20,61,AARVI,EQ,60300,35315,58.57
20,62,AAVAS,EQ,186733,124518,66.68
20,63,ABAN,EQ,59785,39222,65.61
20,64,ABB,EQ,1169176,903702,77.29
20,65,ABBOTINDIA,EQ,6644,3101,46.67
20,66,ABCAPITAL,EQ,4753246,2975896,62.61
20,67,ABFRL,EQ,3134620,1486428,47.42
20,68,ABINFRA,SM,12000,12000,100.00
20,69,ABMINTLLTD,EQ,2479,1309,52.80
20,70,ABSLAMC,EQ,40179,18655,46.43
20,71,ABSLBANETF,EQ,7359,3902,53.02
20,72,ABSLLIQUID,EQ,148,148,100.00
20,73,ABSLNN50ET,EQ,3314,1430,43.15
20,74,ACC,EQ,1373412,835437,60.83
20,75,ACCELYA,EQ,29758,15951,53.60
20,76,ACCURACY,EQ,214186,188378,87.95
20,77,ACE,EQ,1401099,654937,46.74
20,78,ACI,EQ,158650,103711,65.37
20,79,ACL,EQ,2570,2570,100.00
20,80,ADANIENT,EQ,4268439,1008419,23.63
20,81,ADANIGREEN,EQ,6233565,3790713,60.81
20,82,ADANIPORTS,EQ,13649365,5607151,41.08
20,83,ADANIPOWER,EQ,8595331,3434853,39.96
20,84,ADANITRANS,EQ,26167155,18527995,70.81
20,85,ADFFOODS,EQ,18481,8860,47.94
20,86,ADORWELD,EQ,99721,51285,51.43
20,87,ADROITINFO,EQ,43440,29723,68.42
20,88,ADSL,EQ,190052,105730,55.63
20,89,ADVANIHOTR,EQ,88731,50314,56.70
20,90,ADVENZYMES,EQ,55361,29176,52.70
20,91,AEGISCHEM,EQ,917439,440688,48.03
20,92,AETHER,EQ,19324,11034,57.10
20,93,AFFLE,EQ,305570,154614,50.60
20,94,AGARIND,EQ,22531,16661,73.95
20,95,AGI,EQ,102867,54546,53.03
20,96,AGNI,SM,10000,5000,50.00
20,97,AGRITECH,EQ,10284,6655,64.71
20,98,AGROPHOS,EQ,44071,27013,61.29
20,99,AGSTRA,EQ,393887,233215,59.21
20,100,AGUL,SM,12000,12000,100.00
20,101,AHL,EQ,1118291,114701,10.26
20,102,AHLADA,EQ,358006,147913,41.32
20,103,AHLEAST,EQ,3683,2982,80.97
20,104,AHLUCONT,EQ,61549,30244,49.14
20,105,AIAENG,EQ,273424,98067,35.87
20,106,AILIMITED,SM,18000,18000,100.00
20,107,AIRAN,EQ,73418,41314,56.27
20,108,AIROLAM,EQ,24048,16490,68.57
20,109,AIRTELPP,E1,434488,284379,65.45
20,110,AISL,SM,1200,1200,100.00
20,111,AJANTPHARM,EQ,119099,85613,71.88
20,112,AJMERA,EQ,25676,9260,36.06
20,113,AJOONI,EQ,1143287,614989,53.79
20,114,AKASH,EQ,53266,28145,52.84
20,115,AKG,EQ,173224,105258,60.76
20,116,AKSHAR,EQ,2800,2096,74.86
20,117,AKSHARCHEM,EQ,13140,8666,65.95
20,118,AKSHOPTFBR,EQ,370172,236631,63.92
20,119,AKZOINDIA,EQ,33372,17853,53.50
20,120,ALANKIT,EQ,234015,173587,74.18
20,121,ALBERTDAVD,EQ,1933,1224,63.32
20,122,ALEMBICLTD,EQ,82695,51222,61.94
20,123,ALICON,EQ,12982,8361,64.40
20,124,ALKALI,EQ,24572,15352,62.48
20,125,ALKEM,EQ,92711,63085,68.04
20,126,ALKYLAMINE,EQ,27380,17103,62.47
20,127,ALLCARGO,EQ,428708,201656,47.04
20,128,ALLETEC,SM,24000,22400,93.33
20,129,ALLSEC,EQ,5691,3318,58.30
20,130,ALMONDZ,EQ,19725,13350,67.68
20,131,ALOKINDS,EQ,11731352,4970471,42.37
20,132,ALPA,EQ,105851,56194,53.09
20,133,ALPHAGEO,EQ,22835,9240,40.46
20,134,AMARAJABAT,EQ,595864,332210,55.75
20,135,AMBER,EQ,130588,70603,54.07
20,136,AMBICAAGAR,EQ,25246,10961,43.42
20,137,AMBIKCO,EQ,6598,3685,55.85
20,138,AMBUJACEM,EQ,6180317,4286277,69.35
20,139,AMDIND,EQ,79746,51090,64.07
20,140,AMEYA,SM,8000,8000,100.00
20,141,AMIABLE,SM,1600,1600,100.00
20,142,AMIORG,EQ,71794,28162,39.23
20,143,AMJLAND,EQ,14429,10284,71.27
20,144,AMRUTANJAN,EQ,25442,11852,46.58
20,145,ANANDRATHI,EQ,22692,11325,49.91
20,146,ANANTRAJ,EQ,788208,493722,62.64
20,147,ANDHRAPAP,EQ,34468,22679,65.80
20,148,ANDHRSUGAR,EQ,97823,53703,54.90
20,149,ANDREWYU,EQ,96054,60019,62.48
20,150,ANGELONE,EQ,744948,331351,44.48
20,151,ANIKINDS,EQ,12428,7305,58.78
20,152,ANLON,SM,4800,4800,100.00
20,153,ANMOL,EQ,117935,47817,40.55
20,154,ANNAPURNA,SM,38000,31000,81.58
20,155,ANTGRAPHIC,EQ,287192,159816,55.65
20,156,ANUP,EQ,65322,27201,41.64
20,157,ANURAS,EQ,683542,425124,62.19
20,158,APARINDS,EQ,60891,38525,63.27
20,159,APCL,EQ,8910,5070,56.90
20,160,APCOTEXIND,EQ,35331,18794,53.19
20,161,APEX,EQ,187350,104737,55.90
20,162,APLAPOLLO,EQ,1172885,797180,67.97
20,163,APLLTD,EQ,130126,96232,73.95
20,164,APOLLO,EQ,398903,273603,68.59
20,165,APOLLOHOSP,EQ,1655511,680883,41.13
20,166,APOLLOPIPE,EQ,102947,62495,60.71
20,167,APOLLOTYRE,EQ,1403719,569759,40.59
20,168,APOLSINHOT,EQ,1616,1180,73.02
20,169,APTECHT,EQ,669234,165891,24.79
20,170,APTUS,EQ,906106,642155,70.87
20,171,ARCHIDPLY,EQ,10327,8008,77.54
20,172,ARCHIES,EQ,2456090,1319324,53.72
20,173,ARENTERP,EQ,15243,5219,34.24
20,174,ARHAM,SM,63000,42000,66.67
20,175,ARIES,EQ,30131,15445,51.26
20,176,ARIHANTACA,SM,4800,4800,100.00
20,177,ARIHANTCAP,EQ,23338,15514,66.48
20,178,ARIHANTSUP,EQ,157169,57864,36.82
20,179,ARISTO,SM,1600,1600,100.00
20,180,ARMANFIN,EQ,397028,129521,32.62
20,181,AROGRANITE,EQ,131372,60166,45.80
20,182,ARROWGREEN,EQ,418271,159744,38.19
20,183,ARSHIYA,EQ,503714,351211,69.72
20,184,ARTEMISMED,EQ,82662,53482,64.70
20,185,ARTNIRMAN,EQ,7281,5389,74.01
20,186,ARVEE,EQ,538,530,98.51
20,187,ARVIND,EQ,4738183,1645084,34.72
20,188,ARVINDFASN,EQ,655672,377564,57.58
20,189,ARVSMART,EQ,267221,210157,78.65
20,190,ASAHIINDIA,EQ,170085,133805,78.67
20,191,ASAHISONG,EQ,5769,3984,69.06
20,192,ASAL,EQ,22988,11005,47.87
20,193,ASALCBR,EQ,65752,34077,51.83
20,194,ASCOM,SM,500,500,100.00
20,195,ASHAPURMIN,EQ,152485,84422,55.36
20,196,ASHIANA,EQ,120080,60070,50.02
20,197,ASHIMASYN,EQ,57831,47790,82.64
20,198,ASHOKA,EQ,1608989,971000,60.35
20,199,ASHOKLEY,EQ,6761906,3360516,49.70
20,200,ASIANENE,EQ,81629,62445,76.50
20,201,ASIANHOTNR,EQ,2788,1932,69.30
20,202,ASIANPAINT,EQ,2349066,1595686,67.93
20,203,ASIANTILES,EQ,302605,165422,54.67
20,204,ASPINWALL,EQ,2779,1686,60.67
20,205,ASTEC,EQ,133773,83736,62.60
20,206,ASTERDM,EQ,436989,278440,63.72
20,207,ASTRAL,EQ,443608,229337,51.70
20,208,ASTRAMICRO,EQ,449842,214824,47.76
20,209,ASTRAZEN,EQ,119390,34905,29.24
20,210,ASTRON,EQ,67765,31300,46.19
20,211,ATALREAL,EQ,315146,75518,23.96
20,212,ATFL,EQ,3264,1887,57.81
20,213,ATGL,EQ,32048979,21368056,66.67
20,214,ATLANTA,EQ,21990,10347,47.05
20,215,ATUL,EQ,23018,8542,37.11
20,216,ATULAUTO,EQ,275230,94032,34.16
20,217,AUBANK,EQ,3839806,2672833,69.61
20,218,AUROIMPEX,ST,112000,104000,92.86
20,219,AUROPHARMA,EQ,3860137,1369816,35.49
20,220,AURUM,EQ,94649,72045,76.12
20,221,AURUMPP,E1,36987,36711,99.25
20,222,AUSOMENT,EQ,2790,2156,77.28
20,223,AUTOAXLES,EQ,13706,8021,58.52
20,224,AUTOBEES,EQ,35309,19407,54.96
20,225,AUTOIND,EQ,29406,19013,64.66
20,226,AVADHSUGAR,EQ,33709,10461,31.03
20,227,AVALON,EQ,362037,220702,60.96
20,228,AVANTIFEED,EQ,248912,163133,65.54
20,229,AVG,EQ,34798,7457,21.43
20,230,AVONMORE,EQ,41753,25482,61.03
20,231,AVROIND,EQ,14928,8814,59.04
20,232,AVTNPL,EQ,157996,96255,60.92
20,233,AWHCL,EQ,40538,26937,66.45
20,234,AWL,EQ,2571533,775857,30.17
20,235,AXISBANK,EQ,34757004,25329630,72.88
20,236,AXISBNKETF,EQ,599,392,65.44
20,237,AXISBPSETF,EQ,4360,2678,61.42
20,238,AXISCADES,EQ,51249,27135,52.95
20,239,AXISCETF,EQ,3184,2010,63.13
20,240,AXISGOLD,EQ,40504,26952,66.54
20,241,AXISHCETF,EQ,7642,5528,72.34
20,242,AXISILVER,EQ,32650,20086,61.52
20,243,AXISNIFTY,EQ,3821,2225,58.23
20,244,AXISTECETF,EQ,762,522,68.50
20,245,AXITA,EQ,2901549,1910007,65.83
20,246,AXSENSEX,EQ,8262,8244,99.78
20,247,AYMSYNTEX,EQ,22484,15180,67.51
20,248,BAGFILMS,EQ,63616,48948,76.94
20,249,BAHETI,SM,25500,21000,82.35
20,250,BAIDFIN,EQ,86204,4608,5.35
20,251,BAJAJ-AUTO,EQ,719613,574641,79.85
20,252,BAJAJCON,EQ,511106,217321,42.52
20,253,BAJAJELEC,EQ,87352,52423,60.01
20,254,BAJAJFINSV,EQ,1704213,1073060,62.97
20,255,BAJAJHCARE,EQ,102225,58438,57.17
20,256,BAJAJHIND,EQ,9553630,3685538,38.58
20,257,BAJAJHLDNG,EQ,181345,115175,63.51
20,258,BAJFINANCE,EQ,2147627,1569906,73.10
20,259,BALAJITELE,EQ,657775,379784,57.74
20,260,BALAMINES,EQ,44110,22066,50.02
20,261,BALAXI,EQ,4990,3080,61.72
20,262,BALKRISHNA,EQ,21114,11695,55.39
20,263,BALKRISIND,EQ,781049,432557,55.38
20,264,BALMLAWRIE,EQ,235022,141246,60.10
20,265,BALPHARMA,EQ,173400,58596,33.79
20,266,BALRAMCHIN,EQ,384052,131526,34.25
20,267,BANARBEADS,EQ,822,414,50.36
20,268,BANARISUG,EQ,916,628,68.56
20,269,BANCOINDIA,EQ,276351,153027,55.37
20,270,BANDHANBNK,EQ,12016687,8122846,67.60
20,271,BANG,EQ,28526,12720,44.59
20,272,BANKA,EQ,13698,6744,49.23
20,273,BANKBARODA,EQ,15821118,7280880,46.02
20,274,BANKBEES,EQ,612867,264043,43.08
20,275,BANKINDIA,EQ,6186430,2894355,46.79
20,276,BANSWRAS,EQ,65622,46924,71.51
20,277,BARBEQUE,EQ,106604,50669,47.53
20,278,BASF,EQ,38445,32168,83.67
20,279,BASML,EQ,66522,51166,76.92
20,280,BATAINDIA,EQ,239862,177645,74.06
20,281,BAYERCROP,EQ,16012,10656,66.55
20,282,BBETF0432,EQ,3895,3330,85.49
20,283,BBL,EQ,12798,6103,47.69
20,284,BBOX,EQ,226355,136357,60.24
20,285,BBTC,EQ,60438,35135,58.13
20,286,BBTCL,EQ,6667,3565,53.47
20,287,BCG,EQ,38685614,15783752,40.80
20,288,BCLIND,EQ,90508,41291,45.62
20,289,BCONCEPTS,EQ,33068,18631,56.34
20,290,BDL,EQ,878903,401636,45.70
20,291,BEARDSELL,EQ,100857,58214,57.72
20,292,BECTORFOOD,EQ,236849,96650,40.81
20,293,BEDMUTHA,EQ,5493,2967,54.01
20,294,BEL,EQ,15741522,9877013,62.74
20,295,BEML,EQ,195087,65698,33.68
20,296,BEPL,EQ,1685138,680786,40.40
